TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
sell,1003.7159273167666,1003.7159273167666,0.0,0,0,1267.4499510000001,1259.9399410000001
sell,1003.7159273167666,1003.7159273167666,0.0,0,0,1259.9399410000001,1259.719971
buy,1003.7159273167666,0,0.79350775971215559,0,0.00062732347628144088,1259.719971,1264.910034
sell,0,1000.383136799909,1000.383136799909,0.79350775971215559,0,1264.910034,1260.709961
buy,1000.383136799909,0,0.78970548469225121,0,0.00062339590664027686,1260.709961,1266.780029
buy,0,0,0.0,0.78970548469225121,0.78970548469225121,1266.780029,1272.75
sell,0,999.51448050938461,999.51448050938461,0.78970548469225121,0,1272.75,1265.6800539999999
sell,999.51448050938461,999.51448050938461,0.0,0,0,1265.6800539999999,1258.0600589999999
buy,999.51448050938461,0,0.79386397808669218,0,0.00063052614843803732,1258.0600589999999,1259.0500489999999
sell,0,994.69567138578407,994.69567138578407,0.79386397808669218,0,1259.0500489999999,1252.9799800000001
buy,994.69567138578407,0,0.79330681518302382,0,0.00063269170774520229,1252.9799800000001,1253.8599850000001
buy,0,0,0.0,0.79330681518302382,0.79330681518302382,1253.8599850000001,1259.9399410000001
buy,0,0,0.0,0.79330681518302382,0.79330681518302382,1259.9399410000001,1263.6899410000001
buy,0,0,0.0,0.79330681518302382,0.79330681518302382,1263.6899410000001,1265.6800539999999
buy,0,0,0.0,0.79330681518302382,0.79330681518302382,1265.6800539999999,1266.780029
buy,0,0,0.0,0.79330681518302382,0.79330681518302382,1266.780029,1269.5500489999999
buy,0,0,0.0,0.79330681518302382,0.79330681518302382,1269.5500489999999,1272.3100589999999
sell,0,1003.636255059033,1003.636255059033,0.79330681518302382,0,1272.3100589999999,1265.130005
buy,1003.636255059033,0,0.7924111043351898,0,0.00062564037031203256,1265.130005,1266.5600589999999
buy,0,0,0.0,0.7924111043351898,0.7924111043351898,1266.5600589999999,1278.709961
sell,0,1013.0896648573857,1013.0896648573857,0.7924111043351898,0,1278.709961,1278.48999
buy,1013.0896648573857,0,0.78853161007329586,0,0.0006137483400073117,1278.48999,1284.780029
sell,0,1005.5197811139723,1005.5197811139723,0.78853161007329586,0,1284.780029,1275.1800539999999
sell,1005.5197811139723,1005.5197811139723,0.0,0,0,1275.1800539999999,1259.719971
sell,1005.5197811139723,1005.5197811139723,0.0,0,0,1259.719971,1258.0600589999999
sell,1005.5197811139723,1005.5197811139723,0.0,0,0,1258.0600589999999,1242.0500489999999
buy,1005.5197811139723,0,0.80942127309324607,0,0.00065156629401170454,1242.0500489999999,1242.2700199999999
buy,0,0,0.0,0.80942127309324607,0.80942127309324607,1242.2700199999999,1247.23999
buy,0,0,0.0,0.80942127309324607,0.80942127309324607,1247.23999,1247.790039
buy,0,0,0.0,0.80942127309324607,0.80942127309324607,1247.790039,1252.75
sell,0,1011.598542159694,1011.598542159694,0.80942127309324607,0,1252.75,1249.780029
buy,1011.598542159694,0,0.8026839693922847,0,0.00063691427761828755,1249.780029,1260.2700199999999
buy,0,0,0.0,0.8026839693922847,0.8026839693922847,1260.2700199999999,1274.1800539999999
