TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
None,0,0,0.0,0.77535262295961238,0.77535262295961238,1269.660034,1268.5500489999999
SELL,0,986.05469824888701,986.05469824888701,0.77535262295961238,0,1268.5500489999999,1271.75
None,986.05469824888701,986.05469824888701,0.0,0,0,1271.75,1261.6999510000001
None,986.05469824888701,986.05469824888701,0.0,0,0,1261.6999510000001,1260.0500489999999
BUY,986.05469824888701,0,0.79051967548912438,0,0.0006337593223228029,1260.0500489999999,1247.349976
SELL,0,987.88875765135981,987.88875765135981,0.79051967548912438,0,1247.349976,1249.670044
None,987.88875765135981,987.88875765135981,0.0,0,0,1249.670044,1271.089966
None,987.88875765135981,987.88875765135981,0.0,0,0,1271.089966,1265.23999
BUY,987.88875765135981,0,0.77895694772288038,0,0.00061421280655962827,1265.23999,1268.219971
None,0,0,0.0,0.77895694772288038,0.77895694772288038,1268.219971,1267.4499510000001
None,0,0,0.0,0.77895694772288038,0.77895694772288038,1267.4499510000001,1259.9399410000001
SELL,0,981.26762359571535,981.26762359571535,0.77895694772288038,0,1259.9399410000001,1259.719971
None,981.26762359571535,981.26762359571535,0.0,0,0,1259.719971,1264.910034
None,981.26762359571535,981.26762359571535,0.0,0,0,1264.910034,1260.709961
None,981.26762359571535,981.26762359571535,0.0,0,0,1260.709961,1266.780029
BUY,981.26762359571535,0,0.77098222242837589,0,0.00060576092903427692,1266.780029,1272.75
None,0,0,0.0,0.77098222242837589,0.77098222242837589,1272.75,1265.6800539999999
SELL,0,969.94194023619366,969.94194023619366,0.77098222242837589,0,1265.6800539999999,1258.0600589999999
BUY,969.94194023619366,0,0.77037599975201121,0,0.00061187083099983365,1258.0600589999999,1259.0500489999999
SELL,0,965.26570476175505,965.26570476175505,0.77037599975201121,0,1259.0500489999999,1252.9799800000001
BUY,965.26570476175505,0,0.76983532157440615,0,0.00061397231810887253,1252.9799800000001,1253.8599850000001
SELL,0,969.94626964417341,969.94626964417341,0.76983532157440615,0,1253.8599850000001,1259.9399410000001
BUY,969.94626964417341,0,0.76755083519666423,0,0.00060738857712935152,1259.9399410000001,1263.6899410000001
SELL,0,971.47378253945908,971.47378253945908,0.76755083519666423,0,1263.6899410000001,1265.6800539999999
None,971.47378253945908,971.47378253945908,0.0,0,0,1265.6800539999999,1266.780029
BUY,971.47378253945908,0,0.76521109451704583,0,0.00060274196761268915,1266.780029,1269.5500489999999
None,0,0,0.0,0.76521109451704583,0.76521109451704583,1269.5500489999999,1272.3100589999999
SELL,0,968.09151583240566,968.09151583240566,0.76521109451704583,0,1272.3100589999999,1265.130005
BUY,968.09151583240566,0,0.7643471061267737,0,0.00060348271737722134,1265.130005,1266.5600589999999
